9,읍면동,리,건축면적(제곱미터),주택유형,등급판정결과,관리기관명,관리기관 전화번호,데이터 기준일,위도,경도,주변 편의시설 개수,유동인구,age20,age30,age40,age50,age60,ageEtc,targetAge,price
읍면,풍기읍,교촌리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.879,128.517,10,20,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7900
읍면,풍기읍,교촌리,,그 외,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.879,128.517,16,98,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18500
읍면,풍기읍,교촌리,39,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.879,128.517,16,30,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18000
읍면,풍기읍,금계리,26.78,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,21,31,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18400
읍면,풍기읍,금계리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,23,2,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12600
읍면,풍기읍,금계리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,14,43,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",14400
읍면,풍기읍,금계리,57.33,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,25,63,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19200
읍면,풍기읍,금계리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,20,21,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19600
읍면,풍기읍,금계리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,21,19,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19400
읍면,풍기읍,금계리,93.22,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,2,26,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12700
읍면,풍기읍,금계리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,7,12,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19100
읍면,풍기읍,금계리,,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.883,128.520,16,59,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8500
읍면,풍기읍,동부리,,그 외,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,8,14,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18600
읍면,풍기읍,동부리,,그 외,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,14,62,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",10400
읍면,풍기읍,동부리,29.73,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,6,78,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9800
읍면,풍기읍,동부리,26.45,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,26,25,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9800
읍면,풍기읍,동부리,166.98,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,15,7,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8700
읍면,풍기읍,동부리,90.72,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,21,17,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12600
읍면,풍기읍,동부리,53.22,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,16,3,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",10100
읍면,풍기읍,동부리,38.51,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,9,49,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8500
읍면,풍기읍,동부리,26.78,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,18,11,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7100
읍면,풍기읍,동부리,55.6,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,23,13,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8000
읍면,풍기읍,동부리,,그 외,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,11,29,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7000
읍면,풍기읍,동부리,44.36,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,22,3,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12800
읍면,풍기읍,동부리,,그 외,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,8,57,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17200
읍면,풍기읍,동부리,,그 외,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,1,19,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19200
읍면,풍기읍,동부리,16.5,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,18,42,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19200
읍면,풍기읍,동부리,58.22,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,2,7,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",13600
읍면,풍기읍,동부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,23,50,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8400
읍면,풍기읍,동부리,82.89,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,3,15,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9900
읍면,풍기읍,동부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,6,28,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",10500
읍면,풍기읍,동부리,25.12,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,6,50,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7500
읍면,풍기읍,동부리,39.67,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,7,4,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8000
읍면,풍기읍,동부리,21.49,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,29,60,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",10500
읍면,풍기읍,동부리,79,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,4,74,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17200
읍면,풍기읍,동부리,30.74,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,7,28,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9300
읍면,풍기읍,동부리,27.57,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,28,5,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",10800
읍면,풍기읍,동부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,12,20,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",15600
읍면,풍기읍,동부리,86.03,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,4,19,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12900
읍면,풍기읍,동부리,23.14,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,1,2,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",13300
읍면,풍기읍,동부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,5,19,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17700
읍면,풍기읍,동부리,46.8,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,7,5,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",15400
읍면,풍기읍,동부리,79.54,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,9,2,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",13400
